Country,Year,iso_code,owid_co2_luc,Population,cumulative,cumulative100,cumulativeAbsorption,cumulativeAbsorptionFix,carbonLand
"Leeward Islands (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Lesotho,2021,LSO,6.642,0,139.758,133.116,116.43899870219,6.642,0
Liberia,2021,LBR,18.086,0,1025.149,1007.063,624.64924384824,18.086,0
Libya,2021,LBY,74.122,0,2282.533,2208.411,1636.5574143655,74.122,0
Liechtenstein,2021,LIE,0,0,0,0,0,0,0
Lithuania,2021,LTU,12.672,0,3006.116,2123.464,1187.1365363654,12.672,0
"Low-income countries",2021,,1135.32,0,78608.512,74996.714,45676.203424096,1135.32,0
"Lower-middle-income countries",2021,,8138.495,0,406796.189,362406.924,235792.70548255,8138.495,0
Luxembourg,2021,LUX,8.428,0,750.192,741.764,450.53027065659,8.428,0
Macao,2021,MAC,0,0,0,0,0,0,0
Madagascar,2021,MDG,34.582,0,5827.218,5792.636,3024.2764210663,34.582,0
Malawi,2021,MWI,5.912,0,1138.044,1132.132,630.80863102595,5.912,0
Malaysia,2021,MYS,404.844,0,17993.39,16128.878,11302.783709731,404.844,0
Maldives,2021,MDV,0,0,0,0,0,0,0
Mali,2021,MLI,-1.949,0,1313.257,1315.206,906.52433609672,-1.949,0
Malta,2021,MLT,1.688,0,100.568,98.88,71.000093997247,1.688,0
"Marshall Islands",2021,MHL,0,0,0,0,0,0,0
Martinique,2021,MTQ,1.77,0,106.25,99.373,70.955803316168,1.77,0
Mauritania,2021,MRT,4.228,0,134.197,128.305,88.959253564987,4.228,0
Mauritius,2021,MUS,4.728,0,123.647,118.919,96.313632106268,4.728,0
Mayotte,2021,MYT,0.273,0,7,6.727,5.6368665073238,0.273,0
Mexico,2021,MEX,667.459,0,35423.52,31638.522,20898.884654799,667.459,0
"Micronesia (country)",2021,FSM,0,0,0,0,0,0,0
"Middle East (GCP)",2021,,0,0,0,0,0,0,0
Moldova,2021,MDA,1.498,0,1932.476,1597.641,822.98518844206,1.498,0
Mongolia,2021,MNG,43.061,0,1234.52,1191.459,766.8617774044,43.061,0
Montenegro,2021,MNE,1.898,0,231.501,170.252,76.258305921457,1.898,0
Montserrat,2021,MSR,0.021,0,-0.0030000000000001,-0.024,0.27273025656739,0.021,0
Morocco,2021,MAR,68.159,0,3129.063,3060.904,1969.0204806303,68.159,0
Mozambique,2021,MOZ,35.222,0,4699.717,4664.495,2290.2776743083,35.222,0
Myanmar,2021,MMR,140.657,0,6894.772,6754.115,4345.2078027901,140.657,0
Namibia,2021,NAM,9.474,0,189.395,179.921,151.46435725488,9.474,0
Nauru,2021,NRU,0,0,0,0,0,0,0
Nepal,2021,NPL,29.269,0,1536.641,1507.372,938.08802436818,29.269,0
Netherlands,2021,NLD,143.097,0,12517.417,11133.869,7028.8244014204,143.097,0
"Netherlands Antilles",2021,ANT,0,0,0,0,0,0,0
"New Caledonia",2021,NCL,5.24,0,175.179,169.939,117.76791620383,5.24,0
"New Zealand",2021,NZL,37.161,0,4750.756,3732.825,1971.3392793594,37.161,0
Nicaragua,2021,NIC,10.886,0,2904.048,2893.162,1577.6740425573,10.886,0
Niger,2021,NER,39.705,0,1125.434,1085.729,835.87019029294,39.705,0
Nigeria,2021,NGA,122.807,0,14529.939,14234.496,7688.4593595132,122.807,0
Niue,2021,NIU,0,0,0,0,0,0,0
"Non-OECD (GCP)",2021,,0,0,0,0,0,0,0
"North America",2021,,6668.604,0,676096.514,528894.003,326624.45957039,6668.604,0
"North America (GCP)",2021,,0,0,0,0,0,0,0
"North America (excl. USA)",2021,,1548.491,0,129968.955,112018.198,67900.784335487,1548.491,0
"North Korea",2021,PRK,65.467,0,6420.536,6218.901,3677.2076324329,65.467,0
"North Macedonia",2021,MKD,5.533,0,963.437,837.413,470.59900723349,5.533,0
Norway,2021,NOR,47.331,0,3894.508,3032.393,1976.3894593997,47.331,0
"OECD (GCP)",2021,,0,0,0,0,0,0,0
"OECD (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Oceania,2021,,485.163,0,39729.534,35887.133,22626.581258618,485.163,0
"Oceania (GCP)",2021,,0,0,0,0,0,0,0
Oman,2021,OMN,81.358,0,1408.42,1327.062,1156.8428444259,81.358,0
Pakistan,2021,PAK,254.061,0,7785.906,7531.845,5235.3736772042,254.061,0
Palau,2021,PLW,0,0,0,0,0,0,0
Palestine,2021,PSE,3.092,0,61.14,58.048,50.957784679439,3.092,0
Panama,2021,PAN,18.088,0,1376.536,1358.448,797.80800355452,18.088,0
"Panama Canal Zone (GCP)",1979,,0,0,0,0,0,0,0
"Panama Canal Zone (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
"Papua New Guinea",2021,PNG,36.796,0,1720.478,1835.076,1297.9272634377,36.796,0
Paraguay,2021,PRY,45.033,0,4460.36,4415.327,2856.8730791277,45.033,0
Peru,2021,PER,45.62,0,7086.316,6303.888,3850.3076335877,45.62,0
Philippines,2021,PHL,172.99,0,13629.448,12052.053,6960.620318928,172.99,0
Poland,2021,POL,281.204,0,26431.441,21626.225,13621.911048111,281.204,0
Portugal,2021,PRT,36.547,0,3052.146,2668.219,1775.2688744908,36.547,0
"Puerto Rico",2021,PRI,0,0,4.203,0,0.89961129751316,0,0
Qatar,2021,QAT,95.667,0,2155.975,2060.308,1714.5068732049,95.667,0
Reunion,2021,REU,4.176,0,178.318,157.255,115.75019827787,4.176,0
Romania,2021,ROU,60.824,0,11838.935,10232.615,5707.2800200311,60.824,0
Russia,2021,RUS,2193.249,0,213136.952,157669.353,96532.517085335,2193.249,0
Rwanda,2021,RWA,3.696,0,460.425,456.729,253.19309722259,3.696,0
"Ryukyu Islands (GCP)",1972,,0,0,0,0,0,0,0
"Ryukyu Islands (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
"Saint Helena",2021,SHN,0,0,0,0,0,0,0
"Saint Kitts and Nevis",2021,KNA,0.165,0,2.714,2.549,2.3940853826977,0.165,0
"Saint Lucia",2021,LCA,0.413,0,14.878,14.465,10.170559549922,0.413,0
"Saint Martin (French part)",2021,MAF,0,0,0,0,0,0,0
"Saint Pierre and Miquelon",2021,SPM,0.062,0,4.932,4.87,2.9269854589523,0.062,0
"Saint Vincent and the Grenadines",2021,VCT,0.177,0,9.837,9.66,6.6478499321576,0.177,0
Samoa,2021,WSM,0.111,0,9.483,9.372,3.4903555158197,0.111,0
"Sao Tome and Principe",2021,STP,0.095,0,9.119,9.024,6.0375701399475,0.095,0
"Saudi Arabia",2021,SAU,674.652,0,16896.536,16221.884,13012.906081726,674.652,0
Senegal,2021,SEN,10.007,0,519.013,509.006,331.52836646142,10.007,0
Serbia,2021,SRB,20.097,0,3431.601,2996.154,1755.2985891596,20.097,0
Seychelles,2021,SYC,0,0,0,0,0,0,0
"Sierra Leone",2021,SLE,13.061,0,2864.647,2407.953,1327.8540039316,13.061,0
Singapore,2021,SGP,32.8,0,2163.05,2101.01,1497.760177842,32.8,0
"Sint Maarten (Dutch part)",2021,SXM,0.648,0,70.474,69.826,37.299895407137,0.648,0
Slovakia,2021,SVK,32.817,0,4391.606,3675.134,2179.4537501397,32.817,0
Slovenia,2021,SVN,14.528,0,1144.025,1044.337,667.5069395186,14.528,0
"Solomon Islands",2021,SLB,5.924,0,168.901,162.977,125.73029985673,5.924,0
Somalia,2021,SOM,22.778,0,942.572,919.794,628.6709594189,22.778,0
"South Africa",2021,ZAF,440.729,0,28462.385,26609.88,17188.762107537,440.729,0
"South America",2021,,2335.708,0,209684.145,196832.369,118491.61946538,2335.708,0
"South America (GCP)",2021,,0,0,0,0,0,0,0
"South Korea",2021,KOR,609.626,0,18846.444,18166.443,14392.292755272,609.626,0
"South Sudan",2021,SSD,8.067,0,1363.927,1355.86,885.02121906755,8.067,0
Spain,2021,ESP,208.148,0,17219.337,14925.875,9864.2046258413,208.148,0
"Sri Lanka",2021,LKA,30.637,0,2127.678,2097.041,1292.6677318388,30.637,0
"St. Kitts-Nevis-Anguilla (GCP)",1980,,0,0,0,0,0,0,0
"St. Kitts-Nevis-Anguilla (Jones et al. 2023)",2021,,0,0,0,0,0,0,0
Sudan,2021,SDN,35.841,0,2804.037,2768.196,1953.1091205947,35.841,0
Suriname,2021,SUR,6.53,0,304.144,297.614,198.87052393103,6.53,0
"Svalbard and Jan Mayen",2021,SJM,0,0,0,0,0,0,0
Sweden,2021,SWE,40.246,0,8180.231,5875.781,3320.4994968198,40.246,0
Switzerland,2021,CHE,33.906,0,3285.103,2842.603,1793.9977307453,33.906,0
Syria,2021,SYR,26.781,0,2330.956,2304.175,1482.3259805387,26.781,0
Taiwan,2021,TWN,285.311,0,10070.975,9710.746,7294.2211605306,285.311,0
Tajikistan,2021,TJK,10.043,0,600.128,540.088,305.0748895513,10.043,0
Tanzania,2021,TZA,60.618,0,7589.476,7528.858,4614.2183411246,60.618,0
Thailand,2021,THA,338.732,0,23844.623,23505.891,13863.211871373,338.732,0
Togo,2021,TGO,2.342,0,503.501,501.159,290.05512855468,2.342,0
Tonga,2021,TON,0.175,0,6.994,6.819,4.4720624711454,0.175,0
"Trinidad and Tobago",2021,TTO,35.904,0,1595.424,1536.125,1083.8777889207,35.904,0
Tunisia,2021,TUN,30.85,0,1391.336,1352.645,879.40081974169,30.85,0
Turkey,2021,TUR,435.469,0,17373.148,16160.2,10506.03394094,435.469,0
Turkmenistan,2021,TKM,82.714,0,2686.618,2536.247,1819.6376842898,82.714,0
"Turks and Caicos Islands",2021,TCA,0.341,0,6.912,6.571,5.8233382703793,0.341,0
Tuvalu,2021,TUV,0,0,0,0,0,0,0
Uganda,2021,UGA,9.957,0,2482.107,2472.15,1303.7025760887,9.957,0
Ukraine,2021,UKR,215.085,0,43581.904,34418.753,20299.791503189,215.085,0
"United Arab Emirates",2021,ARE,204.05,0,5103.051,4899.001,4020.657876252,204.05,0
"United Kingdom",2021,GBR,353.039,0,76080.111,52189.68,30325.866050136,353.039,0
"United States",2021,USA,5120.114,0,546127.557,416875.804,258723.675287,5120.114,0
"United States Virgin Islands",2021,VIR,0,0,0,0,0,0,0
"Upper-middle-income countries",2021,,19438.576,0,908012.78,807960.325,544077.25120855,19438.576,0
Uruguay,2021,URY,16.924,0,599.028,582.104,401.82814361589,16.924,0
Uzbekistan,2021,UZB,119.909,0,6750.507,6411.496,4234.3419426755,119.909,0
Vanuatu,2021,VUT,-0.998,0,83.083,84.081,46.808286149543,-0.998,0
Venezuela,2021,VEN,92.314,0,12721.52,12594.471,7140.4233103851,92.314,0
Vietnam,2021,VNM,505.989,0,13144.896,10725.873,8584.7588615849,505.989,0
"Wallis and Futuna",2021,WLF,0,0,0,0,0,0,0
"Western Sahara",2021,ESH,0,0,0,0,0,0,0
World,2021,,41062.895,0,2474858.07,2098073.825,1378689.7319199,41062.895,0
Yemen,2021,YEM,10.938,0,673.983,663.045,488.3050457332,10.938,0
Zambia,2021,ZMB,67.839,0,4953.627,4885.788,3041.108365025,67.839,0
Zimbabwe,2021,ZWE,18.771,0,3051.429,2973.092,1643.2645349005,18.771,0
,,,0,0,0,0,0,0,0,0
